id,brand_name,generic_name,brand_price,generic_price,chronic_keywords,target_patients,health_issues
1,Crocin 650,Paracetamol 650mg,35,15,"fever, pain (acute)","General population, adults and children","Fever, headache, body pain, mild to moderate pain"
2,Augmentin 625,Amoxicillin 500mg + Clavulanic Acid 125mg,190,90,"bacterial infections (respiratory, ENT, urinary, skin)",Adults and adolescents with bacterial infections,"Respiratory tract infection, ear infection, sinusitis, urinary tract infection, skin infection"
3,Glycomet 500,Metformin 500mg,28,12,"type 2 diabetes, chronic hyperglycemia",Adults with type 2 diabetes,"High blood sugar, insulin resistance, type 2 diabetes mellitus"
4,Lantus Solostar,Insulin Glargine 100 IU/ml,1850,1400,"type 1 diabetes, type 2 diabetes, chronic hyperglycemia",Adults and children with diabetes requiring insulin,Long-term blood sugar control in diabetes mellitus
5,Human Mixtard 70/30,Insulin Isophane 70% + Human Insulin 30%,650,480,"type 1 diabetes, type 2 diabetes (chronic)",Adults and children with diabetes requiring insulin,Diabetes mellitus requiring insulin therapy
6,Glycomet-GP 1,Metformin 500mg + Glimepiride 1mg,72,35,"type 2 diabetes, long-term glycemic control",Adults with type 2 diabetes not controlled on single drug,High blood sugar in type 2 diabetes mellitus
7,Telma 40,Telmisartan 40mg,85,38,"hypertension, cardiovascular risk reduction (chronic)",Adults with high blood pressure,"High blood pressure, protection of heart and kidneys"
8,Amlopres 5,Amlodipine 5mg,45,18,"hypertension, angina (chronic cardiovascular conditions)",Adults with high blood pressure or angina,"High blood pressure, chest pain due to angina"
9,Storvas 10,Atorvastatin 10mg,95,42,"dyslipidemia, high cholesterol, cardiovascular risk (chronic)","Adults with high cholesterol, high cardiovascular risk","High cholesterol, prevention of heart attack and stroke"
10,Thyronorm 50,Levothyroxine Sodium 50mcg,75,32,hypothyroidism (chronic endocrine disorder),Adults and children with hypothyroidism,Underactive thyroid (hypothyroidism)
11,Pantocid 40,Pantoprazole 40mg,110,48,"GERD, peptic ulcer disease, acid reflux (can be chronic)",Adults with acidity or GERD,"Acidity, heartburn, gastroesophageal reflux disease"
12,Azithral 500,Azithromycin 500mg,126,85,bacterial infections (acute respiratory),Adults and children as per weight-based dose,"Respiratory tract infection, throat infection, some skin infections"
